Gene,Freq,Category,IsNamed,InSixtyLake,InConnessPond,PondPattern
pgaC,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3645,18,Core,FALSE,TRUE,TRUE,Both ponds
hdfR_11,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3644,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3642,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3641,18,Core,FALSE,TRUE,TRUE,Both ponds
nicP_5,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3640,18,Core,FALSE,TRUE,TRUE,Both ponds
lips,18,Core,TRUE,TRUE,TRUE,Both ponds
hisB,18,Core,TRUE,TRUE,TRUE,Both ponds
hdfR_4,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3639,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3638,18,Core,FALSE,TRUE,TRUE,Both ponds
hisE,18,Core,TRUE,TRUE,TRUE,Both ponds
dmoA_2,18,Core,TRUE,TRUE,TRUE,Both ponds
tauD_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3637,18,Core,FALSE,TRUE,TRUE,Both ponds
bepC,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3636,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3635,18,Core,FALSE,TRUE,TRUE,Both ponds
benM_3,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3634,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3633,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3632,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3631,18,Core,FALSE,TRUE,TRUE,Both ponds
accC,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3630,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3629,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3628,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3627,18,Core,FALSE,TRUE,TRUE,Both ponds
prsE_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3626,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3625,18,Core,FALSE,TRUE,TRUE,Both ponds
hslV,18,Core,TRUE,TRUE,TRUE,Both ponds
aprA_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3624,18,Core,FALSE,TRUE,TRUE,Both ponds
naiP,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3623,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3622,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3621,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3620,18,Core,FALSE,TRUE,TRUE,Both ponds
hslO,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3619,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3618,18,Core,FALSE,TRUE,TRUE,Both ponds
dctD_4,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3617,18,Core,FALSE,TRUE,TRUE,Both ponds
pilQ,18,Core,TRUE,TRUE,TRUE,Both ponds
gabP_2,18,Core,TRUE,TRUE,TRUE,Both ponds
rimK,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3615,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3614,18,Core,FALSE,TRUE,TRUE,Both ponds
xanP_1,18,Core,TRUE,TRUE,TRUE,Both ponds
zitB,18,Core,TRUE,TRUE,TRUE,Both ponds
dnaB_1,18,Core,TRUE,TRUE,TRUE,Both ponds
ureG,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3613,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3612,18,Core,FALSE,TRUE,TRUE,Both ponds
aaeA_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3611,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3610,18,Core,FALSE,TRUE,TRUE,Both ponds
nudF,18,Core,TRUE,TRUE,TRUE,Both ponds
glnA,18,Core,TRUE,TRUE,TRUE,Both ponds
proY_1,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3609,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3608,18,Core,FALSE,TRUE,TRUE,Both ponds
livH_1,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3607,18,Core,FALSE,TRUE,TRUE,Both ponds
gltD,18,Core,TRUE,TRUE,TRUE,Both ponds
ubiJ,18,Core,TRUE,TRUE,TRUE,Both ponds
amiC_1,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3606,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3605,18,Core,FALSE,TRUE,TRUE,Both ponds
group_3604,18,Core,FALSE,TRUE,TRUE,Both ponds
cobH,18,Core,TRUE,TRUE,TRUE,Both ponds
hldE,18,Core,TRUE,TRUE,TRUE,Both ponds
sfnR_2,18,Core,TRUE,TRUE,TRUE,Both ponds
group_3603,18,Core,FALSE,TRUE,TRUE,Both ponds
