Gene,p_value,odds_ratio,n_strong_present,n_weak_present,p_adj,Direction,Category
group_2130,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2129,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2125,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2124,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2109,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2108,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2097,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2088,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2075,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2061,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2051,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2039,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2007,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_2002,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1993,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1992,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1982,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1961,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1950,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1939,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1938,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1919,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1906,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1905,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1895,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1884,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1866,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1847,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1841,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
slyA_2,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1816,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1798,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1797,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1765,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1764,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1743,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1742,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1731,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1722,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1701,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1688,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1682,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1663,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1648,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1647,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1639,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1638,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1632,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1621,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1613,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1601,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1581,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1555,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1523,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
group_1513,0.007936507936507936,Inf,5,0,0.03284130354194048,Enriched in Strong,Accessory
