Sp1	Sp2	ANI	Lake1	Lake2	Comparison
633A	CP17D	99.0732	Sixty Lake	Conness Pond	Different Pond
633A	632B	99.074	Sixty Lake	Sixty Lake	Same Pond
643E	649D1	99.0741	Sixty Lake	Sixty Lake	Same Pond
643E	CP8C	99.0743	Sixty Lake	Conness Pond	Different Pond
632B	628C	99.0749	Sixty Lake	Sixty Lake	Same Pond
638A1	631B	99.0758	Sixty Lake	Sixty Lake	Same Pond
649D1	633A	99.0768	Sixty Lake	Sixty Lake	Same Pond
633A	CP13A	99.0771	Sixty Lake	Conness Pond	Different Pond
649D1	CP17D	99.0771	Sixty Lake	Conness Pond	Different Pond
643E	CP15C	99.0794	Sixty Lake	Conness Pond	Different Pond
632B	633A	99.0809	Sixty Lake	Sixty Lake	Same Pond
CP8C	643E	99.0813	Conness Pond	Sixty Lake	Different Pond
CP13A	628C	99.0819	Conness Pond	Sixty Lake	Different Pond
638A1	CP13A	99.0825	Sixty Lake	Conness Pond	Different Pond
633A	631B	99.0836	Sixty Lake	Sixty Lake	Same Pond
633A	CP5A	99.084	Sixty Lake	Conness Pond	Different Pond
643E	CP6A	99.084	Sixty Lake	Conness Pond	Different Pond
638A1	649D1	99.0846	Sixty Lake	Sixty Lake	Same Pond
632B	638A1	99.0847	Sixty Lake	Sixty Lake	Same Pond
638A1	CP6A	99.085	Sixty Lake	Conness Pond	Different Pond
CP6A	638A1	99.0856	Conness Pond	Sixty Lake	Different Pond
649D1	643E	99.0868	Sixty Lake	Sixty Lake	Same Pond
638A1	632B	99.0879	Sixty Lake	Sixty Lake	Same Pond
CP13A	649D1	99.0897	Conness Pond	Sixty Lake	Different Pond
643E	631B	99.0907	Sixty Lake	Sixty Lake	Same Pond
649D1	CP13A	99.0918	Sixty Lake	Conness Pond	Different Pond
649D1	642A	99.0934	Sixty Lake	Sixty Lake	Same Pond
628C	632B	99.0936	Sixty Lake	Sixty Lake	Same Pond
649D1	638A1	99.0939	Sixty Lake	Sixty Lake	Same Pond
633A	CP6A	99.0951	Sixty Lake	Conness Pond	Different Pond
633A	649D1	99.0958	Sixty Lake	Sixty Lake	Same Pond
649D1	CP15C	99.097	Sixty Lake	Conness Pond	Different Pond
628C	CP13A	99.0985	Sixty Lake	Conness Pond	Different Pond
633A	CP8C	99.1004	Sixty Lake	Conness Pond	Different Pond
CP8C	628C	99.1015	Conness Pond	Sixty Lake	Different Pond
643E	632B	99.1026	Sixty Lake	Sixty Lake	Same Pond
643E	642A	99.104	Sixty Lake	Sixty Lake	Same Pond
643E	CP17D	99.1078	Sixty Lake	Conness Pond	Different Pond
628C	CP8C	99.1086	Sixty Lake	Conness Pond	Different Pond
643E	CP13A	99.1112	Sixty Lake	Conness Pond	Different Pond
628C	643E	99.1116	Sixty Lake	Sixty Lake	Same Pond
649D1	632B	99.1139	Sixty Lake	Sixty Lake	Same Pond
628C	CP15C	99.1141	Sixty Lake	Conness Pond	Different Pond
628C	633A	99.1148	Sixty Lake	Sixty Lake	Same Pond
633A	628C	99.1154	Sixty Lake	Sixty Lake	Same Pond
628C	CP17D	99.1155	Sixty Lake	Conness Pond	Different Pond
643E	628C	99.1209	Sixty Lake	Sixty Lake	Same Pond
628C	638A1	99.1219	Sixty Lake	Sixty Lake	Same Pond
631B	628C	99.1285	Sixty Lake	Sixty Lake	Same Pond
638A1	628C	99.1316	Sixty Lake	Sixty Lake	Same Pond
631B	649D1	99.1332	Sixty Lake	Sixty Lake	Same Pond
628C	649D1	99.1411	Sixty Lake	Sixty Lake	Same Pond
628C	642A	99.1424	Sixty Lake	Sixty Lake	Same Pond
649D1	628C	99.1429	Sixty Lake	Sixty Lake	Same Pond
CP6A	649D1	99.1517	Conness Pond	Sixty Lake	Different Pond
628C	CP6A	99.153	Sixty Lake	Conness Pond	Different Pond
CP6A	628C	99.1531	Conness Pond	Sixty Lake	Different Pond
628C	631B	99.1628	Sixty Lake	Sixty Lake	Same Pond
CP8C	649D1	99.1695	Conness Pond	Sixty Lake	Different Pond
649D1	CP8C	99.1928	Sixty Lake	Conness Pond	Different Pond
